x,y,hardsoft,sector,depth_bin,depth,cell,division,depth_bin,longitude,latitude,sector_id,reef_id,hardsoft_id,strat_nam,strat,depth_bin_value
535372.5,8426782.5,5,7,1,25.914583444595337,73209,1,deep,535.3725000000001,8426.7825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535522.5,8426782.5,5,7,1,19.532999992370605,73212,1,deep,535.5225,8426.7825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535572.5,8426782.5,5,7,1,24.919047552441793,73213,1,deep,535.5725,8426.7825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426732.5,5,7,1,24.677108351006567,74165,1,deep,535.3725000000001,8426.7325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535572.5,8426732.5,5,7,1,21.87010306918744,74169,1,deep,535.5725,8426.7325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535622.5,8426732.5,5,7,1,29.33333396911621,74170,1,deep,535.6225000000001,8426.7325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426682.5,5,7,1,25.904917982758068,75121,1,deep,535.3725000000001,8426.6825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535422.5,8426682.5,5,7,1,20.476000080108644,75122,1,deep,535.4225,8426.6825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535572.5,8426682.5,5,7,1,19.99199993133545,75125,1,deep,535.5725,8426.6825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535622.5,8426682.5,5,7,1,28.611764907836914,75126,1,deep,535.6225000000001,8426.6825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426632.5,5,7,1,25.23606566132092,76077,1,deep,535.3725000000001,8426.6325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535422.5,8426632.5,5,7,1,20.14,76078,1,deep,535.4225,8426.6325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535472.5,8426632.5,5,7,1,13.974749903831826,76079,1,mid,535.4725,8426.6325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535522.5,8426632.5,5,7,1,15.039622540743846,76080,1,mid,535.5225,8426.6325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535572.5,8426632.5,5,7,1,17.689999904632568,76081,1,mid,535.5725,8426.6325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535622.5,8426632.5,5,7,1,26.003703753153484,76082,1,deep,535.6225000000001,8426.6325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426582.5,5,7,1,26.78235289629768,77033,1,deep,535.3725000000001,8426.5825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535422.5,8426582.5,5,7,1,20.38300006866455,77034,1,deep,535.4225,8426.5825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535472.5,8426582.5,5,7,1,14.752285415247867,77035,1,mid,535.4725,8426.5825,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535522.5,8426582.5,5,7,1,12.902743895848593,77036,1,mid,535.5225,8426.5825,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535572.5,8426582.5,5,7,1,16.22099995613098,77037,1,mid,535.5725,8426.5825,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535622.5,8426582.5,5,7,1,23.511827848290885,77038,1,deep,535.6225000000001,8426.5825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535672.5,8426582.5,5,7,1,29.299999237060547,77039,1,deep,535.6725,8426.5825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426532.5,5,7,1,27.489473694249202,77989,1,deep,535.3725000000001,8426.5325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535422.5,8426532.5,5,7,1,20.500999927520752,77990,1,deep,535.4225,8426.5325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535472.5,8426532.5,5,7,1,14.491448734224457,77991,1,mid,535.4725,8426.5325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535522.5,8426532.5,5,7,1,11.24024272163709,77992,1,mid,535.5225,8426.5325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535572.5,8426532.5,5,7,1,14.31399998664856,77993,1,mid,535.5725,8426.5325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535622.5,8426532.5,5,7,1,20.165999994277954,77994,1,deep,535.6225000000001,8426.5325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535672.5,8426532.5,5,7,1,27.77333335876465,77995,1,deep,535.6725,8426.5325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426482.5,5,7,1,26.85106387036912,78945,1,deep,535.3725000000001,8426.4825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535422.5,8426482.5,5,7,1,20.586000003814696,78946,1,deep,535.4225,8426.4825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535472.5,8426482.5,5,7,1,12.554211169858522,78947,1,mid,535.4725,8426.4825,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535522.5,8426482.5,5,7,1,11.03496527671814,78948,1,mid,535.5225,8426.4825,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535572.5,8426482.5,5,7,1,13.746999998092651,78949,1,mid,535.5725,8426.4825,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535622.5,8426482.5,5,7,1,18.31800001144409,78950,1,deep,535.6225000000001,8426.4825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535672.5,8426482.5,5,7,1,26.44615389750554,78951,1,deep,535.6725,8426.4825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426432.5,5,7,1,27.024637719859246,79901,1,deep,535.3725000000001,8426.4325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535422.5,8426432.5,5,7,1,21.4439999961853,79902,1,deep,535.4225,8426.4325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535472.5,8426432.5,5,7,1,14.410714379378728,79903,1,mid,535.4725,8426.4325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535572.5,8426432.5,5,7,1,11.40624994635582,79905,1,mid,535.5725,8426.4325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535622.5,8426432.5,5,7,1,17.02100001335144,79906,1,mid,535.6225000000001,8426.4325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535672.5,8426432.5,5,7,1,26.014285677955264,79907,1,deep,535.6725,8426.4325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535322.5,8426382.5,5,7,1,29.84999942779541,80856,1,deep,535.3225,8426.3825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426382.5,5,7,1,26.982795653804654,80857,1,deep,535.3725000000001,8426.3825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535422.5,8426382.5,5,7,1,20.337999897003172,80858,1,deep,535.4225,8426.3825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535472.5,8426382.5,5,7,1,12.59516130724261,80859,1,mid,535.4725,8426.3825,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535622.5,8426382.5,5,7,1,15.118999967575073,80862,1,mid,535.6225000000001,8426.3825,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
535672.5,8426382.5,5,7,1,25.48985517197761,80863,1,deep,535.6725,8426.3825,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535322.5,8426332.5,5,7,1,29.34615399287297,81812,1,deep,535.3225,8426.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535372.5,8426332.5,5,7,1,26.251000061035157,81813,1,deep,535.3725000000001,8426.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535422.5,8426332.5,5,7,1,18.955000047683715,81814,1,deep,535.4225,8426.3325,tut_ne_open,forereef,unknown,deep_tut_ne_open_forereef,5,DEEP
535472.5,8426332.5,5,7,1,12.766000032424927,81815,1,mid,535.4725,8426.3325,tut_ne_open,forereef,unknown,mid_tut_ne_open_forereef,13,MIDD
