"SITE","ISLAND"
"SAI-1705","Saipan"
"SAI-1706","Saipan"
"SAI-1709","Saipan"
"SAI-1710","Saipan"
"SAI-1712","Saipan"
"SAI-1713","Saipan"
"SAI-1715","Saipan"
"SAI-1719","Saipan"
"SAI-1720","Saipan"
"SAI-1723","Saipan"
"SAI-1726","Saipan"
"SAI-1727","Saipan"
"SAI-1729","Saipan"
"SAI-1732","Saipan"
"SAI-1735","Saipan"
"SAI-1741","Saipan"
"SAI-1743","Saipan"
"SAI-1745","Saipan"
"SAI-1748","Saipan"
"SAI-1754","Saipan"
"SAI-1755","Saipan"
"SAI-1758","Saipan"
"SAI-1764","Saipan"
"SAI-1766","Saipan"
"SAI-1768","Saipan"
"SAI-1771","Saipan"
"SAI-1820","Saipan"
"SAI-1822","Saipan"
"SAI-1828","Saipan"
"SAI-1832","Saipan"
"SAI-1838","Saipan"
"SAI-1843","Saipan"
"SAI-1848","Saipan"
"SAI-1852","Saipan"
"SAI-1854","Saipan"
"SAI-1857","Saipan"
"SAI-1858","Saipan"
"SAI-1859","Saipan"
"SAI-1864","Saipan"
"SAI-1882","Saipan"
"SAI-1883","Saipan"
"SAI-1884","Saipan"
"SAI-1888","Saipan"
"SAI-1906","Saipan"
"SAI-1909","Saipan"
"SAI-1915","Saipan"
"SAI-1916","Saipan"
"SAI-1918","Saipan"
"SAI-1920","Saipan"
"SAI-1921","Saipan"
"SAI-1998","Saipan"
"SAI-1999","Saipan"
"SAI-2000","Saipan"
"SAI-2001","Saipan"
"SAI-2002","Saipan"
"SAI-2003","Saipan"
"SAI-2004","Saipan"
"SAI-2005","Saipan"
"SAI-2006","Saipan"
"SAI-2007","Saipan"
"SAI-2008","Saipan"
"SAI-2009","Saipan"
"SAI-2010","Saipan"
"SAI-2011","Saipan"
"SAI-2012","Saipan"
"SAI-2013","Saipan"
"SAI-2014","Saipan"
"SAI-2015","Saipan"
"SAI-2016","Saipan"
"SAI-2017","Saipan"
"SAI-2018","Saipan"
"SAI-2019","Saipan"
"SAI-2020","Saipan"
"SAI-2021","Saipan"
"SAI-2022","Saipan"
"SAI-2023","Saipan"
"SAI-2024","Saipan"
"SAI-2025","Saipan"
"SAI-2026","Saipan"
"SAI-2027","Saipan"
"SAI-2028","Saipan"
"SAI-2029","Saipan"
"SAI-2030","Saipan"
"SAI-2031","Saipan"
"SAI-2032","Saipan"
"SAI-2033","Saipan"
"SAI-2034","Saipan"
"SAI-2035","Saipan"
"SAI-2036","Saipan"
"SAI-2037","Saipan"
"SAI-2038","Saipan"
"SAI-2039","Saipan"
"SAI-2040","Saipan"
"SAI-2041","Saipan"
"SAI-2042","Saipan"
"SAI-2043","Saipan"
"SAI-2044","Saipan"
"SAI-2045","Saipan"
"SAI-2046","Saipan"
"SAI-2047","Saipan"
"SAI-2048","Saipan"
"SAI-2049","Saipan"
"SAI-2050","Saipan"
"SAI-2051","Saipan"
"SAI-2052","Saipan"
"SAI-2053","Saipan"
"SAI-2054","Saipan"
"SAI-2055","Saipan"
"SAI-2056","Saipan"
"SAI-2057","Saipan"
"SAI-2058","Saipan"
"SAI-2059","Saipan"
"SAI-2060","Saipan"
"SAI-2061","Saipan"
"SAI-2062","Saipan"
"SAI-2063","Saipan"
"SAI-2064","Saipan"
"SAI-2065","Saipan"
"SAI-2066","Saipan"
"SAI-2067","Saipan"
"SAI-2068","Saipan"
"SAI-2069","Saipan"
"SAI-2070","Saipan"
"SAI-2071","Saipan"
"SAI-2072","Saipan"
