OBS_YEAR,ROUNDID,MISSIONID,SITE,ASSOC_OCC_SITEID,OCC_SITEID,DATE_,LOCALTIME,TYPE,DIVE,HABITAT_CODE,REEF_ZONE,MAX_DEPTH_M,MIN_DEPTH_M,VISIBILITY,VISIBILITY_M,MAX_Z_M,MIN_Z_M,DEPTH_BIN,DISTRICT,ISLAND,REGION,SECTOR,SITEDESCRIPTION,SITEVISITID,OBJECTID_SV,OBJECTID_LOS,COMMENTS_SV,COMMENTS_LOS,LATITUDE_SV,LONGITUDE_SV,LATITUDE_LOS,LONGITUDE_LOS,PHOTOMOSAIC_YN,TRANSECT_PHOTOS,CLIMATE_STATION_YN,EXCLUDE_FLAG,DS_SUITE_ACTIVITY_YN,CB_ACTIVITY_YN,CTD_ACTIVITY_YN,H2O_ACTIVITY_YN,STR_DEP_ACTIVITY_YN,STR_REC_ACTIVITY_YN,BMUS_DEPLOY_YN,BMUS_RETRIEVE_YN,CAUS_DEPLOY_YN,CAUS_RETRIEVE_YN,CORAL_BELT_ADULT_YN,CORAL_BELT_JUVENILE_YN,FISH_REA_YN,SEC_NAME
2022,185,MP2206,TUT-6010,,,09/13/2022 11.05.00,09/13/2022 11.05.00,Oceanography,NA,,Backreef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40101,38695,23019,,,-14.272904,-170.66486,-14.272904,-170.66486,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6031,,,09/13/2022 11.23.00,09/13/2022 11.23.00,Oceanography,NA,,Backreef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40102,38696,23018,,,-14.272356,-170.665989,-14.272356,-170.665989,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6036,,,09/13/2022 11.40.00,09/13/2022 11.40.00,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40103,38697,23022,,,-14.273173,-170.667544,-14.273173,-170.667544,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6013,,,09/13/2022 11.48.00,09/13/2022 11.48.00,Oceanography,NA,,Backreef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40104,38698,23016,,,-14.272261,-170.667487,-14.272261,-170.667487,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6030,,,09/13/2022 11.58.00,09/13/2022 11.58.00,Oceanography,NA,,Backreef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40105,38699,23017,,,-14.271722,-170.666603,-14.271722,-170.666603,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_PAGOPAGO
2022,185,MP2206,TUT-6058,,,09/14/2022 14.20.31,09/01/2022 00.00.00,Benthic,3,AGR,Forereef,5.486132277,2.743066138,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,42031,38679,23023,,,-14.285336,-170.665191,-14.285336,-170.665191,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,TUT_SE_OPEN
2022,185,MP2206,TUT-6059,,,09/14/2022 14.28.08,09/01/2022 00.00.00,Benthic,2,AGR,Forereef,3.352636391,2.133495885,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,42032,38680,23030,,,-14.286677,-170.664881,-14.286677,-170.664881,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,TUT_SE_OPEN
2022,185,MP2206,TUT-6060,,,09/14/2022 14.34.45,09/01/2022 00.00.00,Benthic,1,AGR,Forereef,3.047851265,1.219140506,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,42033,38681,23024,,,-14.288051,-170.665194,-14.288051,-170.665194,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,TUT_SE_OPEN
2022,185,MP2206,TUT-6060,,,09/15/2022 08.35.00,09/15/2022 08.35.00,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40088,38715,23024,,,-14.288051,-170.665194,-14.288051,-170.665194,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_SE_OPEN
2022,185,MP2206,TUT-6059,,,09/15/2022 08.45.00,09/15/2022 08.45.00,Oceanography,NA,,Forereef,NA,NA,NA,NA,NA,NA,Shallow,NA,Tutuila,SAMOA,,NA,40089,38716,23030,,,-14.286677,-170.664881,-14.286677,-170.664881,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,TUT_SE_OPEN
