REGION,JurisdictionName,JurisdictionCode,SubjurisdictionName,SubjurisdictionCode,SEC_NAME,SectorName,SectorCode,REEF_ZONE,DEPTH_BIN,StrataName,StrataCode
MHI,Main Hawaiian Islands,MHI,Lanai,LAN,LAN_SOUTH,South,LAN_S,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Lanai,LAN,LAN_SOUTH,South,LAN_S,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_HANA,Hana,MAI_Hana,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_HANA,Hana,MAI_Hana,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_HANA,Hana,MAI_Hana,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_KAHULUI,Kahului,MAI_Kahului,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_KAHULUI,Kahului,MAI_Kahului,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_KAHULUI,Kahului,MAI_Kahului,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_KIHEI,Kihei,MAI_Kihei,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_KIHEI,Kihei,MAI_Kihei,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_KIHEI,Kihei,MAI_Kihei,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_LAHAINA,Lahaina,MAI_Lahaina,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_LAHAINA,Lahaina,MAI_Lahaina,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_LAHAINA,Lahaina,MAI_Lahaina,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_NE,Northeast,MAI_NE,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_NE,Northeast,MAI_NE,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_NE,Northeast,MAI_NE,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_NW,Northwest,MAI_NW,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_NW,Northwest,MAI_NW,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_NW,Northwest,MAI_NW,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_SE,Southeast,MAI_SE,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_SE,Southeast,MAI_SE,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Maui,MAI,MAI_SE,Southeast,MAI_SE,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_NW,Northwest,MOL_NW,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_NW,Northwest,MOL_NW,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_NW,Northwest,MOL_NW,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_PALI,Pali,MOL_Pali,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_PALI,Pali,MOL_Pali,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_PALI,Pali,MOL_Pali,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_SOUTH,South,MOL_S,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_SOUTH,South,MOL_S,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_SOUTH,South,MOL_S,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_WEST,West,MOL_W,Forereef,Deep,Forereef Deep,FRF_D
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_WEST,West,MOL_W,Forereef,Mid,Forereef Mid,FRF_M
MHI,Main Hawaiian Islands,MHI,Molokai,MOL,MOL_WEST,West,MOL_W,Forereef,Shallow,Forereef Shallow,FRF_S
MHI,Main Hawaiian Islands,MHI,Niihau and Lehua,NII,NII_EAST,East,NII_E,Forereef,Deep,Forereef Deep,FRF_D
